lane,last_hits,denies,gold_per_min,xp_per_min,tower_damage,hero_damage,hero_healing,camps_stacked,kills,deaths,assists,sen_placed,obs_placed,match_id,start_time,win,hero_id,account_id,leaguename
2,335,16,557,802,299,35693,0,0,15,6,9,1,2,5865031566,1614759717,FALSE,7,100659811,Asian New Bloom
3,77,1,355,674,512,30811,0,1,11,12,24,1,4,5812997906,1612162452,FALSE,7,139406237,DPC Winter 21 League (CN) presented by Perfect World
2,58,0,456,795,382,17745,0,1,11,11,25,1,2,5824786653,1612847366,TRUE,7,313855674,DireTide League
1,259,17,516,734,2642,43511,0,0,11,10,21,1,1,5819814409,1612583134,TRUE,7,165839292,WCAA冬季电子竞技挑战赛
1,102,2,428,704,440,22443,400,1,10,2,23,1,1,5843369562,1613669052,TRUE,7,313198707,Snow Sweet Snow #2
3,138,1,366,501,0,29838,88,3,9,9,18,6,9,5871779382,1615087209,FALSE,7,1138108910,BTS Dota 2 Online
1,70,1,423,645,826,19893,308,0,9,7,25,2,7,5853072913,1614141520,TRUE,7,240727522,WCAA Spring Festival cup
1,56,1,350,397,1212,11687,0,0,9,6,15,5,2,5868636891,1614951638,TRUE,7,1066796326,Кубок TMeSF
1,185,7,389,602,265,17732,0,3,9,4,8,1,4,5826859532,1612949956,TRUE,7,318371533,WCAA冬季电子竞技挑战赛
3,82,5,387,578,295,19022,0,0,9,3,22,1,4,5826615045,1612939225,TRUE,7,318371533,WCAA冬季电子竞技挑战赛
3,75,2,310,570,1258,18443,250,0,7,12,23,1,3,5858648352,1614427386,FALSE,7,205517338,Snow Sweet Snow #2
1,62,0,317,556,429,18128,0,0,7,9,15,1,2,5846248637,1613816061,FALSE,7,240727522,Moon Studio Asia 
3,52,0,334,517,12,30804,780,1,7,7,20,7,7,5948790103,1618591410,TRUE,7,117483894,ESL One DPC Eastern Europe Season 2 Upper Division
1,47,3,335,422,171,11573,308,0,7,7,11,3,4,5826125348,1612911575,TRUE,7,98462965,DPC Winter 21 League (NA) presented by BTS
2,59,1,370,579,123,13727,197,1,7,5,20,4,5,5922558242,1617351538,TRUE,7,109338760,Oceanic Esports Dota League Season 3
4,53,0,411,616,117,20126,0,2,7,4,20,1,7,5894992053,1616117119,TRUE,7,85312703,Copa Dota 2 Brasil
3,46,0,339,642,741,14172,0,1,7,3,23,1,2,5828420837,1613021632,TRUE,7,240727522,WCAA Spring Festival cup
1,77,2,333,570,0,15963,337,4,7,3,17,2,5,5915345931,1617000065,TRUE,7,138543123,The Singapore Major
3,55,1,373,452,840,12516,0,4,7,2,17,2,5,5814801232,1612270607,TRUE,7,386370442,Snow Sweet Snow #1
3,178,0,364,566,103,26755,0,2,6,14,23,2,3,5832230464,1613195527,TRUE,7,61134408,Oceanic Esports Dota League Season 3
1,56,2,287,534,0,16979,400,2,6,11,12,5,10,5846231553,1613815233,FALSE,7,140159807,WCAA Spring Festival cup
1,71,2,266,344,0,13273,636,2,6,11,7,3,4,5943945702,1618334251,FALSE,7,876964607,تورنومنت سطح حرفه ای اِستیم مَن
1,78,2,329,659,0,19570,0,1,6,9,15,5,7,5844101273,1613716953,FALSE,7,96708830,WCAA Spring Festival cup
3,97,1,362,605,1199,26745,125,3,6,7,17,15,16,5822569687,1612724313,TRUE,7,195612062,DIGI CUP MONTHLY
3,75,3,369,671,1513,15605,0,0,6,6,28,2,3,5853447536,1614163384,TRUE,7,118736004,Oceanic Esports Dota League Season 3
3,197,0,377,498,467,43333,100,2,6,6,25,9,8,5829707304,1613073616,TRUE,7,126469785,DPC Winter 21 League (NA) presented by BTS
2,112,1,401,810,650,17042,0,3,6,5,25,3,6,5824770404,1612846194,TRUE,7,140159807,WCAA冬季电子竞技挑战赛
3,70,0,360,550,62,13687,0,0,6,5,17,3,4,5888090793,1615788270,TRUE,7,134659079,OSD Summer Dock League
3,108,11,303,506,0,20225,0,6,6,5,16,1,3,5845993058,1613804579,FALSE,7,89972122,Oceanic Esports Dota League Season 3
1,47,0,365,520,73,15276,0,1,6,4,21,3,4,5828012664,1612990731,TRUE,7,349310876,DPC Winter 21 League (SA) presented by OGA
3,23,2,372,362,345,10940,0,0,6,3,21,2,2,5825727341,1612888788,TRUE,7,415630739,DIGI CUP MONTHLY
3,39,3,347,541,169,12188,0,0,6,3,17,2,2,5836720480,1613384585,TRUE,7,313198707,Snow Sweet Snow #2
3,20,1,367,529,873,15255,0,2,6,2,23,7,5,5905308403,1616582369,TRUE,7,89972122,Oceanic Esports Dota League Season 3
1,71,0,374,558,77,11070,60,0,6,2,19,2,2,5874444561,1615191763,TRUE,7,118559150,LPL Pro Dota 2 Season 1 2021
3,36,4,322,560,582,9855,0,0,6,2,15,1,2,5842723681,1613649705,TRUE,7,214735983,Snow Sweet Snow #2
1,58,1,273,474,0,25474,128,1,5,11,15,12,9,5958911182,1619089082,FALSE,7,143278997,DPC 2021 Season 2 Upper League (SEA) presented by PGL
1,67,3,388,710,239,19669,125,1,5,10,27,7,8,5917514439,1617103650,TRUE,7,349310876,The Singapore Major
3,70,2,325,446,0,23938,0,1,5,9,15,8,7,5900132935,1616332843,FALSE,7,316971553,YouTube SIVVIT - Big Russian Show
1,79,5,389,609,66,14014,155,2,5,8,24,13,10,5838429599,1613460639,TRUE,7,297312417,Moon Studio Asia 
3,61,1,302,402,90,17372,35,1,5,8,22,7,10,5831130397,1613141103,TRUE,7,111030315,DPC Winter 21 League (EEU) presented by ESL One
2,56,3,288,419,415,21691,764,0,5,8,18,5,3,5836564784,1613378425,FALSE,7,152859296,Moon Studio Asia 
3,147,3,370,519,0,20732,0,0,5,8,17,2,2,5864018413,1614694904,TRUE,7,150074590,Кубок TMeSF
3,97,0,295,485,197,17763,0,1,5,8,11,1,9,5829806482,1613079618,FALSE,7,236858633,DPC Winter 21 League (NA) presented by BTS
1,61,2,221,321,79,13852,0,0,5,8,10,8,7,5823661681,1612787964,FALSE,7,856221836,LIGA KBBD 
1,48,1,299,476,34,16769,125,0,5,7,16,3,6,5817420392,1612440239,TRUE,7,326327879,DPC Winter 21 League (EEU) presented by ESL One
1,256,6,405,664,228,39060,0,0,5,6,30,1,2,5842128224,1613624560,TRUE,7,209287073,DPC Winter 21 League (SEA) presented by PGL
1,52,4,358,665,1121,17679,0,1,5,6,25,2,6,5842946775,1613655799,TRUE,7,130503714,Moon Studio Asia 
3,91,1,347,560,498,16783,1775,0,5,6,21,1,3,5846188553,1613813318,TRUE,7,83978988,Oceanic Esports Dota League Season 3
2,60,9,321,530,336,12369,0,2,5,6,15,2,1,5895330554,1616139021,TRUE,7,118736004,Oceanic Esports Dota League Season 3
2,69,2,320,565,19,11050,100,0,5,6,13,1,2,5826687025,1612942401,TRUE,7,954040285,WCAA冬季电子竞技挑战赛
1,99,1,361,665,1483,16711,0,0,5,5,26,4,3,5845752660,1613792362,TRUE,7,89972122,Oceanic Esports Dota League Season 3
3,54,1,361,573,1403,14826,0,6,5,5,21,7,7,5888195647,1615794059,TRUE,7,120901780,LPL Pro Dota 2 Season 1 2021
